reg_no,length,owner_uuid
RJ02GC7621,32 Ft XXL,3202025075
HR55AL8821,32 Ft XXL,1.37257E+18
HR38AD0749,22 Ft XL,572478139
HR55AA9262,32 Ft XXL,3000670204
KA51AH7438,24 Ft XL,1.29971E+18
NL01AG6781,30 Ft DXL,3364769651
TN42AL0613,22 Ft XL Ft XL,295300481
TN22CR9496,20 Ft XL,2541946062
MH04KF6432,22 Ft XL,1780542669
MH46BU3109,32 Ft XXL,2793079243
HR38AG2541,32 Ft XL,3908165514
RJ14GR4404,32 Ft XL,4091380543
HR55T6531,32 Ft XXL,4005448948
RJ47GA6344,40 Ft DXL,4255940877
DD01R9514,32 Ft XL,2008158030
MH46BB7450,34 Ft XL,1261369310
RJ11GB5988,32 Ft XXL,1583587267
RJ27GD0245,32 Ft XXL,2979921946
UK07CD7511,32 Ft XXL,2118848005
TN39CS0327,32 Ft XXXL,1271043962
RJ52GB1523,32 Ft XXL,1573419948
HR38AF0372,32 Ft XL,3908165514
RJ14GT0736,32 Ft XXXL,1524180104
TN25BE7137,22 Ft XL,2119373447
HR38V7391,22 Ft XL,2715031614
HR47D2911,32 Ft XL,2532936040
HR55R7572,32 Ft XL,1.36451E+18
RJ11GD1087,32 Ft XXL,589031229
UP78GN5831,32 Ft XL,3251962340
CH01TB6241,32 Ft XXL,2838899538
MH04LE3842,20 Ft XL,1092962944
HR38AG0450,32 Ft XL,292837692
MH46BF0802,32 Ft XL,1.27493E+18
RJ14GQ4856,32 Ft XXXL,801664119
HR56A1033,32 Ft XL,1.27493E+18
HR55AK4885,32 Ft XL,3000356243
NL01N7472,32 Ft XXL,1168052891
HR61D4792,32 Ft XL,1495002572
TN70AD1166,32 Ft XXL,2488622514
NL01L3164,32 Ft XXL,574573228
HR38V7510,34 Ft XL,1263168055
NL01AG5162,32 Ft XL,3914731708
MH12QG2294,32 Ft XXL,2794462599
MH04HY1059,32 Ft XXL,1259620876
TN52J7771,32 Ft XXL,1.36553E+18
MH40CD8210,32 Ft XXL,143673201
HR55AK4994,19-22 Ft SXL Ft ,818100544
MH14GD7336,20 Ft XL,1.27493E+18
TN04AV9904,32 Ft XXL,1271043962
TN30BF5074,32 Ft XXL,3923431786
TN52AA3952,32 Ft XXL,1.32425E+18
TN88W8799,32 Ft XXL,2061117023
UK06CB5312,32 Ft XL,2432246931
HR842626,32 Ft XXL,4122073968
TN52AA2788,32 Ft XXL,1.27493E+18
RJ32GC5399,32 Ft XL,3630080344
HR55U2835,32 Ft XXL,834023770
TN37DQ1713,32 Ft XL,1.27493E+18
TN30BE9216,24 Ft XL,1.29095E+18
UP13AT1717,32 Ft XL,1310073092
RJ07GC1575,32 Ft XXXL,1784162912
RJ10GB6834,32 Ft XXL,2790224233
MH04JU5161,32 Ft XL,1763251974
UP13DT0849,32 Ft XL,1310073092
NL01AB5320,32 Ft XL,1.35842E+18
TN25BT3339,32 Ft XXL,1675771888
RJ14GN8196,32 Ft XL,1645396204
TN88H0882,32 Ft XL,1034250895
TN30BH0844,32 Ft XXL,1.36556E+18
HR39D4440,32 Ft XL,481817470
KA01AJ9279,32 Ft XL,217271024
TN37CA8476,22 Ft XL,907961855
TN04AV9465,32 Ft XXL,1271043962
HR46E7010,24 Ft XXL,984079765
NL01AG0469,34 Ft XXXL,2059618537
HR38V8736,32 Ft XL,2906035098
MH04GR2023,32 Ft XXL,3155699385
TN88H8761,32 Ft XXL,3684021696
TN93E4014,32 Ft XL,1.37427E+18
HR47F9575,32 Ft XL,4030502194
TN40E0069,32 Ft XXL,1.39961E+18
TN25CA6397,32 Ft XXL,1675771888
NL01AG7680,36 Ft XXXL,533252639
MH12PQ9894,32 Ft XXL,2794462599
NL01AF2544,32 Ft XL,1763251974
RJ10GB2681,32 Ft XXL,1038921782
MH04KU6603,32 Ft XL,2545997179
HR55AM8591,32 Ft XXL,2657042234
HR74B8303,32 Ft XL,3592248843
TN03X9090,32 Ft XXL,900208284
NL01AD3286,32 Ft XXL,694678537
KA04AA3067,32 Ft XXL,1.37249E+18
NL01AE0007,32 Ft XXL,1.27493E+18
MH04LQ5633,32 Ft XL,1569587841
RJ14GR0484,32 Ft XXL Ft XXL,1093938573
HR74B3248,32 Ft XL,3592248843
BR06GC8705,32 Ft XL Ft XL,3977087158
HR55AM0930,32 Ft XXXL,1592936837
NL01AF3292,32 Ft XXL,2601101007
HR55AK2853,32 Ft XL,1.36451E+18
MH14DM9939,22 Ft XL,2956987562
MH14HU1595,32 Ft XL,55062080
NL01AF3293,32 Ft XXL,2601101007
HR38AH0364,32 Ft XL,3908165514
HR55WB2045,32 Ft XXL,1.37502E+18
TN18AS9947,32 Ft XXL,1.29567E+18
KA01AB6889,32 Ft XXL,1.35511E+18
MH04LQ5635,32 Ft XL,2407169107
TN28BC8505,32 Ft XXL,3891668170
HR38AG0133,34 Ft XL,3158106272
KA01AM2629,24 Ft XL,1864800108
NL01AE7989,32 Ft XXL,1.37502E+18
MH43BX2391,32 Ft XXL,1.37249E+18
NL01AE7991,32 Ft XXL,1.37502E+18
HR55AE4543,32 Ft XXL,1.27493E+18
TN52K6459,32 Ft XXL,1.38589E+18
RJ14GP1092,32 Ft XL,925801732
KA51AG3059,22 Ft XL,1861644730
HR55AF5277,32 Ft XXL,3648094054
TN88AZ2497,32 Ft XXL,3145471621
HR38AC9974,22 Ft XL,572478139
TN24AL1441,32 Ft XXL,1144809355
RJ32GC2788,32 Ft XL,3146373301
RJ14GP5633,32 Ft XL,2288705459
HR55AC8136,32 Ft XL,208449432
RJ32GC4464,32 Ft XXL,1242574798
MH04GR1215,32 Ft XL,2564900610
HR55AQ9033,22 Ft XL,1.27493E+18
HR55W4721,32 Ft XXL,1.36451E+18
MH19CY8073,32 Ft XL,4063429927
MH04JU4126,20 Ft XL,108749163
HR38AB1263,32 Ft XXL,1562663088
NL01AE7591,32 Ft XXL,1.27493E+18
WB05A3836,32 Ft XXL,1080031028
HR38AB7500,32 Ft XL,2275596032
NL01AD1203,32 Ft XXL,1675607123
RJ11GD1800,32 Ft XXL Ft XXL,3659002255
TN88AY1166,32 Ft XXL,644862596
TS08UL1228,20 Ft XL Ft XL,1688206047
HR55AS4449,22 Ft XL,2594083566
RJ10GB6163,32 Ft XXL,3557494937
HR55AP5537,32 Ft XXL,2746782088
MH14LL1388,20 Ft XL,3278235299
MH04LY6036,20 Ft XL,4000628782
MH04GC5027,32 Ft XXL,2312731764
MH46CL1306,32 Ft XL,4155638782
GJ38T3913,32 Ft XL Ft XL,2299587520
KA51AK1855,32 Ft XL,3189752954
HR39E9202,32 Ft XL,3502623890
TN42AL3399,32 Ft XXL,1.27493E+18
HR55AH7932,32 Ft XL,291465903
TN02BE3858,32 Ft XXL,1.33841E+18
NL01AF4112,32 Ft XL,3731347356
TN39CR5323,32 Ft XL,1271043962
TN39CR8696,32 Ft XL,4254809584
MH04KF9466,32 Ft XXL,484342666
DD01G9811,20 Ft XL Ft XL,1451479875
RJ14GK7153,32 Ft XXL,1.30839E+18
DL1MB1144,22 Ft XL,2275826932
HR45D3486,22 Ft XL,2326154247
RJ40GA4427,32 Ft XL,1206131433
MH04JU4429,20 Ft XL,3196048022
HR46E8278,32 Ft XL,3888426839
HR47F4254,32 Ft XXL,1193730341
NL01AC9072,32 Ft XL,1.27493E+18
NL01AB5438,32 Ft XXL,3136763773
RJ11GB9240,32 Ft XXL,2700883699
NL01AE8683,32 Ft XXL Ft XXL,1.27493E+18
MH24AU5754,20 Ft XL,3319010155
NL01AE3634,32 Ft XL,2370712691
MH40BG9245,32 Ft XL,2962862464
RJ18GB3118,24 Ft XXL,752833987
HR55AU3208,32 Ft XL,2463724394
MH05AM3001,32 Ft XXL,3208030818
MH12RN8499,32 Ft XXL,776326532
GJ12BW4891,40 Ft DXL,1608917745
RJ52GA6837,32 Ft XXL,418533805
RJ14GQ5136,32 Ft XL,1625775589
HR55AL1953,20 Ft XL,3544992241
TN59CDZ3660,20 Ft XL Ft XL,831560818
RJ14GL6931,32 Ft XXL,3554142728
KA01AL1984,32 Ft XXL,1.35482E+18
MH04LQ4364,20 Ft XL Ft XL,1470923263
HR47C7942,32 Ft XXL,1.27493E+18
NL01AE7990,32 Ft XXL,1.37502E+18
RJ01GC2829,40 Ft DXL,2472847994
RJ11GB6727,32 Ft XXL,1463879186
DL1GC6149,32 Ft XXL,1.28455E+18
HR55T1389,32 Ft XXL,3234395569
HR55AM0356,20 Ft XL,3378674383
RJ32GD5298,32 Ft XXL,654234375
MH46BU6872,20 Ft XL,4133277105
NL01AF8040,32 Ft XL,3731347356
MH14KA0041,22 Ft XL,1251745391
TN25BP5794,32 Ft XXL,1192910416
MH04LQ4525,20 Ft XL Ft XL,3397474671
HR55AK0126,22 Ft XL,818100544
TN01BM2442,32 Ft XL,3268912921
MH04JU1888,32 Ft XL,2715681784
RJ11GC3585,32 Ft XXL,2177204286
TN04BD3926,32 Ft XL,3739220626
NL01AG9896,32 Ft XL,761325456
BR06GF1784,32 Ft XL,1675607123
KA592899,22 Ft XL,3299064985
HR55AK1049,22 Ft XL,1.30944E+18
MH04JU3196,32 Ft XL,1763251974
RJ09GC1886,32 Ft XXL,4150367334
HR38AH6257,32 Ft XL,3908165514
RJ14GJ3823,32 Ft XXL,3228667817
TN28BK8344,32 Ft XXL,822721021
MH11DD9567,20 Ft XL Ft XL,3723932010
RJ11GC1174,32 Ft XXL Ft XXL,654841166
UP23AT4286,32 Ft XXL,1897334415
TN34AJ5388,32 Ft XXL,2456406897
HR55Y9071,32 Ft XXL,1.27493E+18
HR38AF0881,22 Ft XL,2532781938
OD11S0113,32 Ft XXL,560318007
HR66C7668,32 Ft XL,2848944094
MH04KF0150,32 Ft XL,940945578
UP54T8505,26 Ft DXL,3504217824
NL01AE7984,32 Ft XXL,1.37502E+18
TN52AC1177,32 Ft XXL,153147850
TN37DS1491,32 Ft XXL,1.27493E+18
NL01AE5664,32 Ft XL,1.3653E+18
MH04LQ2408,32 Ft XL,2545997179
TN28BH5899,32 Ft XXL,3825710874
HR47G1177,32 Ft XL,1804682592
NL01AE7785,32 Ft XL,1324027201
NL01AC0382,32 Ft XXL,1.27493E+18
MH04KU6117,20 Ft XL Ft XL,3202760598
HR38AB3022,32 Ft XXL,1562663088
HR55AC2740,32 Ft XXL,3575206951
TN46AB0945,20 Ft XL,3078939781
BR01GM0484,32 Ft XXL,1119306811
HR55AR9745,32 Ft XL,66447761
WB11E0263,32 Ft XXL,1146569996
HR55V7084,32 Ft XL,2637171806
HR55AR6678,32 Ft XL,2971335053
KA51D2603,32 Ft XXL,902512755
OD01K6469,32 Ft XXL,560318007
KA01AL7636,32 Ft XL,1.27493E+18
NL01AF2177,32 Ft XL,1763251974
HR55AF7552,32 Ft XL,267942975
TN34MA1537,26 Ft DXL,722363753
WB73L3133,32 Ft XXL,1450445338
HR38AC9499,32 Ft XXL,1272519803
HR55AB9303,32 Ft XXL,1.27493E+18
RJ32GC3166,32 Ft XXL,1.27493E+18
MH46AR3048,32 Ft XL,322358579
MH46BB4370,32 Ft XXL,1.27493E+18
MH04KF7352,20 Ft XL,859974101
KA51AH0349,22 Ft XL Ft XL,2273269885
HR55AK7556,22 Ft XL,818100544
MH24AU9143,32 Ft XL Ft XL,1620714298
MH46AR6343,32 Ft XXL,1.37249E+18
TN39CZ9189,32 Ft XL,4125775703
UP54AT0216,26 Ft DXL,3504217824
HR67B9365,32 Ft XXL,1449607347
RJ14GQ0600,32 Ft XL,1.27493E+18
MH04JU3193,32 Ft XL,1763251974
RJ32GC9159,32 Ft XL,265122025
RJ27GC9978,32 Ft XXL,2979921946
NL01AA2496,32 Ft XXL,1323245759
HR38AE4530,34 Ft XL,2858977521
HR38AE2988,32 Ft XXL,1.41783E+18
HR39D6756,32 Ft XL,481817470
NL01AD9904,32 Ft XL,3751013683
NL01AD7243,32 Ft XXL,2263179590
HR55AJ7496,32 Ft XL,92539438
RJ14GP5988,32 Ft XL,875504629
HR61D0166,22 Ft XL,2965778612
MH04HD9056,20 Ft XL,3982429025
RJ11GB8896,32 Ft XXL,3076107935
MH23AU2142,20 Ft XL,3511667751
OD02BE6557,32 Ft XXL,3003097865
KA53AA7778,20 Ft XL,2035918744
HR56B6587,32 Ft XL,3469807626
HR47D4623,32 Ft XXXL,1370455184
KA51AC5249,32 Ft XXL,1.31061E+18
TN88E5578,32 Ft XXL,3821008100
MH46BF9839,32 Ft XL,1375808288
MH46BB8631,32 Ft XXL Ft XXL,3587963592
MH24AU8224,32 Ft XL,4221398926
TN12AP9050,22 Ft XL,105402506
HR55AL4746,22 Ft XL,818100544
NL01AF1299,32 Ft XXL Ft XXL,415291715
KA51AG4617,22 Ft XL,1861644730
HR55V4662,32 Ft XL,1982572239
HR55AM2663,32 Ft XL,515545083
TN88X8483,32 Ft XXL,1.3095E+18
TN37CK6980,20 Ft XL,1.27493E+18
NL01AE5663,32 Ft XL,1763251974
TN01AU2445,32 Ft XL Ft XL,3832274834
HR47C2354,32 Ft XL,1.27493E+18
RJ47GA4624,32 Ft XXL,2532614300
MH04KU7636,20 Ft XL,556203466
DD01P9111,32 Ft XL,547416547
TN54K7999,32 Ft XXL,1.28345E+18
HR69B5873,32 Ft XL,2774528678
MH46CL0138,34 Ft XL,3823404355
TN33BT0439,22 Ft XL,530100686
WB11D5546,32 Ft XXL,135590117
HR55AU3343,32 Ft XL,2349979998
NL01AE7987,32 Ft XXL,1.37502E+18
RJ32GD0408,32 Ft XL,2546199617
KA01AF2250,32 Ft XXL,1930959888
HR47F9311,32 Ft XL,2532936040
KA01AD8791,20 Ft XL,2231017615
HR47F6272,22 Ft XL,1024890800
NL01AH0593,32 Ft XXL,2741874244
HR55AM5989,32 Ft XXXL,1.29422E+18
MH46BF0974,32 Ft XL,1.27493E+18
MH04LE5659,32 Ft XL,976860774
HR55AF6177,32 Ft XXL,1.34095E+18
MH46BF2491,20 Ft XL,732534985
UP42BT2821,32 Ft XL,4030351932
HR39D6543,32 Ft XL,481817470
HR55V7201,32 Ft XL,2880141006
RJ14GN4267,32 Ft XL,3497881716
UP14KT5297,24 Ft XL,2089495628
TN88J5848,32 Ft XXL,1.33841E+18
MH06AQ4770,32 Ft XXL,694341610
TN88U5699,32 Ft XXL,1.41705E+18
TN18BB9087,32 Ft XXL,1.35684E+18
RJ11GC0041,32 Ft XXL,1.27493E+18
TN05CM2227,32 Ft XL,23845928
MP09HH1387,32 Ft XXL,3187139634
TS07UE7157,32 Ft XXL,3706224517
TN56L1060,32 Ft XXL,1.29901E+18
KA51AK3196,32 Ft XXL,154705261
RJ10GB3243,32 Ft XXL,1.2812E+18
MH48AY3033,32 Ft XXL,2039810350
HR47C1721,32 Ft XL,10651475
HR38AC5822,22 Ft XL,3712202889
HR55AQ2530,32 Ft XL,1038921782
KA51AH4132,24 Ft XXL,511547080
KA569186,32 Ft XXL,2110436442
MH04KF4375,22 Ft XXL,200509188
KA52A8291,32 Ft XXL,1431985334
MH20DE5876,32 Ft XL,350259233
HR38T5167,22 Ft XL,2715031614
HR55AL1521,32 Ft XL,586056444
KA52B4967,22 Ft XL,3993520811
NL01N3446,32 Ft XL,2903670965
NL01Q3396,32 Ft XL Ft XL,238083654
HR39E4102,22 Ft XL,3468488591
TN02BM1407,32 Ft XXL,1.27493E+18
HR38S7585,34 Ft XL,1593227794
TN39CL1639,32 Ft XXL,1325843980
NL01AH2173,32 Ft XXL,154705261
HR74B2802,32 Ft XL,4112769211
HR55AT9691,32 Ft XL,3104138433
MH14GU5492,32 Ft XL,1569374315
UP23T7386,32 Ft XXL,1475335105
HR38AE1754,32 Ft XL,1599883026
HR55AP5231,32 Ft XL,1873564887
MH04KF7481,32 Ft XL,573747521
MH04JK3246,32 Ft XXL,1.30772E+18
HR55AC1075,32 Ft XXL,2715223503
TN36AK7540,20 Ft XL,1395152659
GJ01CU8679,22 Ft DXL,1882768089
TS08UB7823,32 Ft XXL,2375633805
GJ12BY1144,36 Ft XXXL,1649101344
TN39DZ0599,32 Ft XXL,1.27493E+18
TN24AX4815,20 Ft XL Ft XL,3370388645
PB11BY1872,32 Ft XL,2223231849
NL01AG1288,32 Ft XXL Ft XXL,2600246705
HR61D8730,22 Ft XL,2041405395
RJ14GQ7860,32 Ft XXL,2374041767
MH15JC2576,32 Ft XXL,4053392143
HR55AN8975,32 Ft XL,1.27493E+18
DL1MB3083,22 Ft XL,2157329828
TN52K4577,32 Ft XXL,1.28958E+18
KA52B4728,20 Ft XL,4186992177
TN30BQ4140,32 Ft XL,1.27875E+18
HR55AQ1917,32 Ft XL,1.27493E+18
UP14LT1802,20 Ft XL,127872060
TN52K9644,32 Ft XXL,153500135
HR55AK4240,22 Ft XL,1.27493E+18
HR55AK0597,32 Ft XL,837162591
HR47E4457,22 Ft XL,4114516569
HR47B5126,32 Ft XL,1.27493E+18
KA51AC5250,32 Ft XXL,1009348521
GJ12BV7610,40 Ft DXL,1608917745
MH04LY7991,20 Ft XL,18476183
RJ18GB4272,32 Ft XXL,1448966853
MH04LQ3137,22 Ft XL,2138596688
HR55U8977,32 Ft XXL,1.35182E+18
GJ15AT4856,32 Ft XL,2603292377
TN39CS6967,32 Ft XXL,1271043962
HR55AC5157,20 Ft XL,2349979998
TN34AH7287,32 Ft XXL,4152150427
MH14HG1930,20 Ft XL,2046209108
MH46CL5159,32 Ft XXL,3944964191
MH46BB5871,32 Ft XL,712418492
HR55AM9493,32 Ft XXL,1.27493E+18
MH43BX8043,32 Ft XL,1.37249E+18
RJ14GL8627,32 Ft XL,2005079660
MH43CA4199,32 Ft XXL,589546240
HR38AD1012,34 Ft XL,4239308576
RJ09GC1239,32 Ft XXL,2374041767
HR67B5320,24 Ft XXL,1936515858
MH04KU2602,20 Ft XL,200509188
HR38AH7268,34 Ft XL,250896138
MH43CE3828,32 Ft XXL,724297732
TN34AF5799,32 Ft XXL,302597895
NL01AC4978,32 Ft XXL,3155944960
HR38U2556,32 Ft XXL,2045484468
NL01AE9955,32 Ft XXL,3251689406
TN30BQ4218,32 Ft XXL,1.27493E+18
TN47BA4083,22 Ft XL,3888651998
TN84L3879,22 Ft XL,3322124713
WB11D6467,32 Ft XXL,4082689178
NL01L7092,32 Ft MXL,1.34396E+18
MH04LE9968,22 Ft XL,2288924615
UP81CT5075,32 Ft XXL Ft XXL,2115237033
TN12AM6489,22 Ft XL,1.41632E+18
TN42AL5649,20 Ft XL Ft XL,3473018394
KA51AG3690,22 Ft XL,1861644730
UP81CT5073,30 Ft DXL,2115237033
RJ09GE3647,32 Ft XXL,1183707012
MH43BX7381,32 Ft XL,1.37249E+18
NL01N2801,32 Ft XXL,1168052891
TN18A2337,20 Ft XL,3888651998
TN47AL7917,20 Ft XL,3888651998
TN19AL0225,24 Ft XXL,626256173
HR55AK3957,20 Ft XL,2037549557
MH46CL3669,32 Ft XXL,2793079243
GJ15AT5989,32 Ft XL,3034584419
RJ47GA6316,40 Ft DXL,4255940877
UP13AT9010,32 Ft XXL Ft XXL,2115237033
RJ10GA8105,32 Ft XL,1219188435
MH46CL9190,32 Ft XXL,3633219397
GA06AV1397,32 Ft XL,2975014919
HR55AJ6070,32 Ft XL,1.27493E+18
KA03AE3075,20 Ft XL,4170560057
RJ47GA3862,30 Ft DXL,4255940877
MH40CT1037,32 Ft XXL,761325456
TN25BB8727,32 Ft XL,1189346497
HR38W7501,32 Ft XL,214553612
HR55AC3433,32 Ft XXL Ft XXL,1617854670
MH12VF4290,32 Ft XXL,2016006778
WB05A1587,32 Ft XXL,1080031028
TN54K5099,32 Ft XXL,2346186893
KA53AB3476,32 Ft XL,1788446187
MH43BP2133,32 Ft XXL,508628337
RJ14GQ8963,32 Ft XL,1038921782
GJ19X7234,22 Ft XL,3118177014
NL01AF9800,32 Ft XXL,378353369
TN52K5108,32 Ft XXL,1.29901E+18
HR38AD7573,32 Ft XL,2111733133
HR38AG7238,32 Ft XXL,4122073968
TN28BH1743,32 Ft XXL,1060552599
HR55AL0996,22 Ft XL,2862424708
PB11CF9644,32 Ft XXL,3170897108
TN36BV7682,32 Ft XXL,1701426074
HR55W3722,32 Ft XL,1.27493E+18
WB11B9149,32 Ft XXL Ft XXL,3847316319
HR55AD4642,32 Ft XL,208449432
MH04KU6634,20 Ft XXL,3108073027
HR55AE6383,32 Ft XXL,1.34095E+18
TN88V0691,32 Ft XL,1.28559E+18
HR38Z8916,20 Ft XL,1884839023
HR38X5566,32 Ft XL,2906035098
HR55AL3166,32 Ft XXL,1.27493E+18
UP25DT8418,30 Ft DXL,2818151988
RJ11GC6041,32 Ft XXL Ft XXL,2252295024
RJ14GK1718,32 Ft XL,1101147109
KA53AB3158,22 Ft DXL,1788446187
HR56B8917,21 Ft DXL,3504217824
GJ27TD2459,32 Ft XL,2870844706
RJ14GP5635,32 Ft XL,2288705459
NL01AJ2239,32 Ft XL,2247350398
TN39CQ7048,32 Ft XL,4125775703
HR66A6793,32 Ft XXL,823897004
HR841913,32 Ft XL,718481859
WB05A4153,32 Ft XL,1080031028
GJ38T4700,32 Ft XL,1031975809
MH43BX8968,32 Ft XL,1.37249E+18
MH04LQ4412,20 Ft XL Ft XL,1990592200
HR55AF6677,32 Ft XL,3648094054
HR55AH1549,32 Ft XL,267942975
HR46F9756,32 Ft XL,2757888850
MH48CB2801,20 Ft XL,2709739130
TN29CU1266,32 Ft XXL,3535688251
GJ27TF2278,32 Ft XXL,934518116
MH23AU1512,32 Ft XL,465191334
WB11F7457,22 Ft XXL,2296239721
NL01AG1728,34 Ft XXXL,2059618537
NL01N3986,32 Ft XL,1179273343
NL01AC0190,32 Ft XL,4006088036
NL01AF4141,34 Ft XXL,4112769211
RJ14GK7053,32 Ft XL,3432718452
KA01AJ0035,32 Ft XL,1.28381E+18
HR55AL9034,32 Ft XXL,374678490
RJ32GD5687,32 Ft XL,3249855397
HR38X7026,32 Ft XXL,1806953019
TN02BL9966,22 Ft XL,1938068082
UP21DT8849,32 Ft XXL,3063123278
MH04KU7699,32 Ft XL,573747521
TN88AZ4799,22 Ft XL Ft XL,770823235
HR67B1669,24 Ft XXL,1012754256
KA42B2340,20 Ft XL,593183256
HR38Z9183,22 Ft XL,554587856
TN36AP2394,32 Ft XXL,1.27493E+18
TN32BC1641,20 Ft XL Ft XL,123791790
TN47AU9050,22 Ft XL Ft XL,2871096043
WB11C7602,32 Ft XXL,4026520101
HR47E0469,22 Ft XL,2360715924
HR38AH5554,32 Ft XL,2733533833
TN12AR3888,32 Ft XL,4225747090
MH04LE6319,32 Ft XL,620207144
WB05A1665,32 Ft XL,1080031028
BR06GE2689,32 Ft SXL Ft ,1675607123
TN05CC1427,20 Ft XL,23845928
RJ52GA7036,32 Ft XXL,1147749398
RJ14GP0526,32 Ft XXL,3509917328
HR38W9761,34 Ft XL,2335357181
TN28BK3908,32 Ft XXL Ft XXL,3999100522
TN52AA6255,32 Ft XXL,1.37286E+18
TN88L2387,32 Ft XXXL,2489278472
TN52D2793,32 Ft XL,430104909
MH48CQ2837,32 Ft XL,3497379874
HR61E6890,32 Ft XL,204606172
UP32ZN2833,32 Ft XL,197560472
HR66B9045,32 Ft XXL,1960149178
KA52B2011,22 Ft XL,3141194182
HR38AB4878,32 Ft XL,2563933293
KA41D5832,24 Ft XL,2829880542
TN77E0507,32 Ft XXL,1.27493E+18
HR38AD5280,34 Ft XL,4239308576
RJ14GP2912,32 Ft XL,1.27493E+18
MH04MH2554,22 Ft XL,3387547965
TN88U6626,32 Ft XXL,3706842395
MH04KU7395,22 Ft XL,4143037193
HR55AC8542,32 Ft XL,267942975
GJ06AV0716,32 Ft XL,2923486914
NL01AG3395,32 Ft XL,2560436813
NL01AF0424,32 Ft XXL,1.27493E+18
TN52M0507,32 Ft XXL,2114355974
HR55AL1115,32 Ft XL,4112769211
RJ14GQ3251,36 Ft XXXL,361831879
KA51AH1092,32 Ft XL,3905849175
TN39CT9412,32 Ft XL,173607023
MH46BF1248,32 Ft XXL,1.28265E+18
TN39CW1426,32 Ft XL,1.27493E+18
HR55W7064,32 Ft XL,942688014
NL01AH2223,32 Ft XL Ft XL,2313603075
KA38A0066,20 Ft XL Ft XL,2358871651
UP16HT9015,22 Ft XL,524560922
HR55AE0881,32 Ft XL,2283783132
KA51AG6292,32 Ft XXL,1.41813E+18
NL02Q3671,32 Ft XL,1.27493E+18
HR55AK3126,32 Ft XL,2546199617
TN39CC5835,32 Ft XXL,1271043962
HR55AL5935,22 Ft XL,1.27493E+18
TN28BK4195,32 Ft XXL,1.27493E+18
NL01AG5141,34 Ft XL,2903670965
HR47G2530,32 Ft XL,4004548899
KA02AG5900,20 Ft XL,3970541655
TN52J3985,32 Ft XXL,792423231
HR47D7457,32 Ft XL Ft XL,324703824
UK06CA9302,32 Ft XXL,1900996983
MH46BF0510,32 Ft XXL,2793079243
HR38W7202,32 Ft XXL,2003063906
JH02BL6723,32 Ft XL Ft XL,3654741733
HR55AL0486,32 Ft XXL,1.27493E+18
MH46BM3476,32 Ft XL,1.27493E+18
TN29CC7438,32 Ft XXL,3089520401
MH24AU7158,20 Ft XL,609750096
MH04GR8783,32 Ft XXL,4279831489
TN19AL7099,32 Ft XXL,4094944893
HR38AE9260,32 Ft XL,1995526937
HR38AC6498,32 Ft XL,2111733133
MH43BP3682,32 Ft XXL,3944964191
WB11C6390,32 Ft XXL,3876917080
RJ14GP0071,32 Ft XXL,2086816663
MH04LE2586,32 Ft XXL,1427582194
TN34X6397,32 Ft XXL,2799217186
HR38AA4672,34 Ft XL,955834925
HR55AM2306,24 Ft XL,20079860
KA51B8688,32 Ft XXL,1.37286E+18
DD01Q9237,32 Ft XXL,1784565714
TN39CT0205,32 Ft XXL,921080138
HR38Z4484,22 Ft XL,989892657
RJ14GQ5946,32 Ft XL,2553882112
NL01AG4084,32 Ft XXL,1.34387E+18
HR56C0876,32 Ft XL,876758123
HR55AE6160,32 Ft XXL,3648094054
HR55AH3889,32 Ft XXL,267942975
TN39CM2106,32 Ft XXL,37099671
HR55AP8400,32 Ft XXL,3234395569
KA53AB2367,32 Ft XL,3073368300
HR55AK8301,22 Ft XL,616191173
HR47D4759,32 Ft XL,2463724394
MH04KF0153,32 Ft XL,848368649
MH43BX6806,32 Ft XL,1.37249E+18
RJ32GD3989,32 Ft XL,2577279039
TN12AS6012,22 Ft XL,105402506
MH46BF0614,32 Ft XL,4155638782
HR55AQ3926,22 Ft XL,2188882136
DD01R9846,32 Ft XXL,1784565714
KA52B7124,22 Ft XL,2035918744
HR55AM8294,32 Ft XL,515545083
WB76B1905,32 Ft XL,899478693
HR66B7410,32 Ft XL,1366565040
TN52AC9657,32 Ft XXL,2881336242
UK04CC5656,30 Ft DXL,3836262919
GJ01HT9525,32 Ft XXL,1962476245
MH04LQ9970,22 Ft XL,239683150
HR55AF2777,32 Ft XXL,3648094054
TN28BH8566,32 Ft XXL,2117522071
TN88W8599,32 Ft XXL,2061117023
HR55Y1777,32 Ft XL,1788205992
GJ12BX3026,36 Ft XXXL,1649101344
DL1MA8771,20 Ft XL,797046859
HR55AD9421,32 Ft XXXL,3234395569
TN88AY1459,32 Ft XXXL,2205338248
UP66AT1508,22 Ft XL,1420603818
HR55AM2899,32 Ft XXL,1.27493E+18
TN56S1971,32 Ft XL,1579908675
HR55AP5426,32 Ft XL,3904425606
HR55AH6900,32 Ft XL,3630080344
RJ10GB6550,32 Ft XL,3110131596
MH04JK1248,32 Ft XXL,1.37247E+18
TN52R5911,32 Ft XL,1.32425E+18
TN11AJ9677,32 Ft XL Ft XL,4290128786
TN48BU3172,32 Ft XXL,3494074323
HR38V8620,32 Ft XL,2647333561
RJ10GC1455,32 Ft XL,1773597366
HR47F9925,22 Ft XL,312411188
HR74B7594,32 Ft XL,20046284
UP21BN5493,32 Ft XL,748753063
